image_name,Type_1,Type_2,Type_3
0.jpg,0.00011447,0.999876,9.09736e-06
1.jpg,3.2942e-05,0.999666,0.000301409
2.jpg,0.968411,0.0315778,1.09537e-05
3.jpg,0.000466972,0.0732884,0.926245
4.jpg,5.9354e-08,0.0030606,0.996939
5.jpg,0.410663,0.586989,0.00234785
6.jpg,0.000184645,0.999032,0.000783453
7.jpg,1.7906e-05,0.213672,0.78631
8.jpg,0.000782973,0.890074,0.109143
9.jpg,0.000977058,0.995832,0.00319055
10.jpg,1.4068e-05,0.999986,6.53709e-08
11.jpg,9.66173e-06,0.0152669,0.984723
12.jpg,1.55461e-06,0.98936,0.010638
13.jpg,6.41895e-08,9.97035e-06,0.99999
14.jpg,1.48748e-07,0.999975,2.52578e-05
15.jpg,4.21342e-07,4.93197e-05,0.99995
16.jpg,0.000854563,0.982116,0.0170294
17.jpg,1.67082e-05,0.999039,0.000944651
18.jpg,1.83525e-05,0.999981,1.01463e-06
19.jpg,1.71969e-10,2.44386e-05,0.999976
20.jpg,0.954834,0.0450338,0.000132581
21.jpg,5.3581e-07,0.999996,3.36479e-06
22.jpg,2.45952e-05,0.999909,6.62726e-05
23.jpg,0.999462,0.000537145,1.01802e-06
24.jpg,0.962773,0.0365938,0.000633139
25.jpg,0.0164538,0.980441,0.00310518
26.jpg,0.00042363,0.999574,2.38463e-06
27.jpg,5.02622e-06,0.000240578,0.999754
28.jpg,1.05846e-05,0.999985,4.36467e-06
29.jpg,3.1477e-07,0.000691088,0.999309
30.jpg,0.795796,0.2042,4.21842e-06
31.jpg,0.000791468,0.999207,1.19626e-06
32.jpg,2.82712e-06,0.864194,0.135803
33.jpg,0.768178,0.159189,0.0726336
34.jpg,1.50845e-05,0.99937,0.000614824
35.jpg,1.71615e-05,0.000988586,0.998994
36.jpg,0.000946366,0.998961,9.27524e-05
37.jpg,0.000225635,0.999768,6.45714e-06
38.jpg,0.000612064,0.998367,0.00102056
39.jpg,0.231597,0.692236,0.0761672
40.jpg,9.45477e-08,1.86509e-05,0.999981
41.jpg,0.00019363,0.999705,0.000101171
42.jpg,5.95044e-05,0.999918,2.23104e-05
43.jpg,2.67189e-05,0.54622,0.453753
44.jpg,0.998942,0.000826345,0.000231431
45.jpg,0.0151376,0.304807,0.680055
46.jpg,0.896539,0.0964328,0.00702804
47.jpg,0.968741,0.027177,0.00408234
48.jpg,8.6808e-10,5.81361e-06,0.999994
49.jpg,2.75354e-09,8.50991e-07,0.999999
50.jpg,1.05007e-05,0.00517767,0.994812
51.jpg,0.999956,4.42908e-05,8.02485e-08
52.jpg,1.71841e-06,0.000289229,0.999709
53.jpg,0.01134,0.923353,0.0653071
54.jpg,2.42739e-07,0.139067,0.860933
55.jpg,1.15052e-06,3.53049e-05,0.999964
56.jpg,2.11238e-07,0.9992,0.000800221
57.jpg,0.267781,0.73154,0.000679063
58.jpg,1.38207e-05,0.999974,1.18648e-05
59.jpg,0.800936,0.19772,0.00134389
60.jpg,0.00689251,0.408476,0.584632
61.jpg,0.000271234,0.998899,0.000829734
62.jpg,1.22879e-09,0.00223672,0.997763
63.jpg,0.0452186,0.954584,0.000197523
64.jpg,0.000246421,0.999753,6.34178e-07
65.jpg,0.99242,0.00757944,6.57749e-07
66.jpg,2.06392e-06,6.90754e-05,0.999929
67.jpg,6.80173e-07,1.35653e-05,0.999986
68.jpg,0.0261712,0.0199196,0.953909
69.jpg,2.65856e-05,0.000198211,0.999775
70.jpg,0.38688,0.589903,0.0232165
71.jpg,0.000239855,0.861743,0.138018
72.jpg,0.0377422,0.962108,0.000150179
73.jpg,0.989056,0.00983711,0.0011072
74.jpg,9.33042e-08,6.4693e-05,0.999935
75.jpg,0.713865,0.286043,9.19504e-05
76.jpg,1.04846e-11,3.00986e-08,1.0
77.jpg,0.0042248,0.995774,1.37562e-06
78.jpg,7.78095e-10,2.30492e-06,0.999998
79.jpg,0.940159,0.0598244,1.64242e-05
80.jpg,0.0409846,0.955058,0.00395771
81.jpg,6.68728e-06,0.999873,0.000119925
82.jpg,0.00821311,0.991731,5.58184e-05
