image_name,Type_1,Type_2,Type_3
0.jpg,0.680411,0.273851,0.0457382
1.jpg,0.0172665,0.946266,0.0364674
2.jpg,0.00214123,0.995652,0.00220675
3.jpg,0.00750422,0.12097,0.871526
4.jpg,0.0116334,0.255935,0.732431
5.jpg,0.10987,0.875032,0.0150978
6.jpg,0.13076,0.847615,0.0216255
7.jpg,0.330839,0.316884,0.352278
8.jpg,0.31039,0.571409,0.118201
9.jpg,0.326531,0.599749,0.0737197
10.jpg,0.823901,0.172381,0.00371766
11.jpg,0.0129123,0.437956,0.549131
12.jpg,0.147709,0.339881,0.51241
13.jpg,0.0404957,0.305843,0.653662
14.jpg,0.00480049,0.9895,0.00570002
15.jpg,0.0132425,0.681536,0.305222
16.jpg,0.0911776,0.762514,0.146308
17.jpg,0.896654,0.0782986,0.0250474
18.jpg,0.1963,0.767982,0.0357183
19.jpg,0.0162482,0.246026,0.737726
20.jpg,0.84086,0.154623,0.00451649
21.jpg,0.176434,0.80012,0.0234461
22.jpg,0.00102832,0.995891,0.00308064
23.jpg,0.0648261,0.904966,0.0302076
24.jpg,0.340146,0.560666,0.0991877
25.jpg,0.00341049,0.990689,0.00590084
26.jpg,0.00713225,0.990052,0.00281603
27.jpg,0.000679898,0.0138668,0.985453
28.jpg,0.016269,0.952933,0.0307985
29.jpg,0.000816515,0.99083,0.00835373
30.jpg,0.111888,0.275743,0.612369
31.jpg,0.235857,0.740578,0.023565
32.jpg,0.0178051,0.15657,0.825625
33.jpg,0.881277,0.080706,0.0380175
34.jpg,0.37371,0.0939959,0.532294
35.jpg,0.00228634,0.599386,0.398327
36.jpg,0.0698664,0.896693,0.0334402
37.jpg,0.769039,0.165571,0.0653905
38.jpg,0.00597881,0.963108,0.0309133
39.jpg,0.0173723,0.392345,0.590283
40.jpg,0.0570192,0.0594036,0.883577
41.jpg,0.043001,0.698025,0.258974
42.jpg,0.00116008,0.965372,0.0334679
43.jpg,0.00606256,0.782585,0.211353
44.jpg,0.0274066,0.513376,0.459217
45.jpg,0.0106411,0.565508,0.423851
46.jpg,0.119186,0.0752505,0.805563
47.jpg,0.804976,0.164406,0.0306183
48.jpg,0.0329843,0.247134,0.719882
49.jpg,0.00646225,0.0172359,0.976302
50.jpg,0.0634129,0.79994,0.136647
51.jpg,0.799922,0.181441,0.0186372
52.jpg,0.0203816,0.341342,0.638277
53.jpg,0.00620473,0.175479,0.818316
54.jpg,0.00138431,0.0782876,0.920328
55.jpg,0.0235591,0.0848912,0.89155
56.jpg,0.000739291,0.998652,0.000608841
57.jpg,0.131098,0.75224,0.116662
58.jpg,0.0146117,0.655053,0.330335
59.jpg,0.715895,0.278128,0.00597676
60.jpg,0.637704,0.189372,0.172924
61.jpg,0.0277437,0.943439,0.0288178
62.jpg,0.0418131,0.197238,0.760949
63.jpg,0.0617231,0.1841,0.754177
64.jpg,0.31626,0.64616,0.0375806
65.jpg,0.897028,0.0470337,0.0559384
66.jpg,0.0387563,0.184204,0.77704
67.jpg,0.00574685,0.0177712,0.976482
68.jpg,0.0156234,0.970432,0.0139444
69.jpg,0.301807,0.505703,0.19249
70.jpg,0.119998,0.868747,0.0112553
71.jpg,0.092903,0.164002,0.743095
72.jpg,0.203158,0.790751,0.00609053
73.jpg,0.408214,0.144165,0.447621
74.jpg,0.00218558,0.321792,0.676023
75.jpg,0.0112904,0.984818,0.0038913
76.jpg,0.0578299,0.0138988,0.928271
77.jpg,0.186329,0.768369,0.0453017
78.jpg,0.00176482,0.0232982,0.974937
79.jpg,0.843131,0.153809,0.00306035
80.jpg,0.18746,0.68471,0.127831
81.jpg,0.0802598,0.677435,0.242305
82.jpg,0.210017,0.728758,0.0612259
83.jpg,0.012482,0.182652,0.804866
84.jpg,0.578228,0.335281,0.0864908
85.jpg,0.211988,0.739963,0.048048
