image_name,Type_1,Type_2,Type_3
0.jpg,0.339733,0.518889,0.141379
1.jpg,0.118829,0.691501,0.18967
2.jpg,0.16792,0.772051,0.0600288
3.jpg,0.0628426,0.509564,0.427594
4.jpg,0.100515,0.410193,0.489292
5.jpg,0.430139,0.539595,0.0302664
6.jpg,0.335369,0.504099,0.160532
7.jpg,0.164237,0.50817,0.327593
8.jpg,0.147121,0.61875,0.234129
9.jpg,0.322061,0.539596,0.138343
10.jpg,0.455497,0.528739,0.0157638
11.jpg,0.158924,0.517527,0.323549
12.jpg,0.0622662,0.339273,0.598461
13.jpg,0.0889896,0.447696,0.463315
14.jpg,0.209084,0.573319,0.217598
15.jpg,0.16566,0.563777,0.270563
16.jpg,0.151014,0.542683,0.306303
17.jpg,0.53913,0.351753,0.109117
18.jpg,0.279591,0.633107,0.0873025
19.jpg,0.0679278,0.289135,0.642937
20.jpg,0.537821,0.415422,0.0467572
21.jpg,0.379608,0.576835,0.0435568
22.jpg,0.0719166,0.833892,0.0941918
23.jpg,0.2207,0.567062,0.212238
24.jpg,0.17048,0.568108,0.261413
25.jpg,0.203798,0.698624,0.097578
26.jpg,0.372548,0.58956,0.0378924
27.jpg,0.0409924,0.502585,0.456422
28.jpg,0.196304,0.668115,0.135581
29.jpg,0.141221,0.753318,0.105461
30.jpg,0.233169,0.364725,0.402106
31.jpg,0.220129,0.691987,0.0878838
32.jpg,0.200827,0.23296,0.566213
33.jpg,0.399598,0.454822,0.145579
34.jpg,0.264233,0.30218,0.433587
35.jpg,0.13455,0.595505,0.269945
36.jpg,0.196102,0.660909,0.142989
37.jpg,0.462018,0.408434,0.129548
38.jpg,0.0515375,0.653296,0.295166
39.jpg,0.115597,0.450335,0.434068
40.jpg,0.128002,0.294685,0.577312
41.jpg,0.0916897,0.743923,0.164387
42.jpg,0.0975257,0.645552,0.256922
43.jpg,0.148701,0.394788,0.456511
44.jpg,0.112411,0.446529,0.44106
45.jpg,0.0907737,0.658145,0.251081
46.jpg,0.102435,0.22184,0.675725
47.jpg,0.495755,0.457423,0.0468218
48.jpg,0.0900046,0.263842,0.646154
49.jpg,0.0543549,0.219537,0.726108
50.jpg,0.12362,0.620211,0.256169
51.jpg,0.658577,0.316182,0.0252416
52.jpg,0.0837745,0.469836,0.44639
53.jpg,0.065238,0.35465,0.580112
54.jpg,0.0488758,0.514164,0.436961
55.jpg,0.118532,0.301304,0.580164
56.jpg,0.0302268,0.929428,0.0403454
57.jpg,0.290736,0.617958,0.0913068
58.jpg,0.0682021,0.500008,0.43179
59.jpg,0.651456,0.314499,0.0340449
60.jpg,0.345336,0.435414,0.21925
61.jpg,0.380802,0.582981,0.0362163
62.jpg,0.18349,0.48605,0.33046
63.jpg,0.111879,0.550869,0.337251
64.jpg,0.544802,0.424122,0.0310763
65.jpg,0.487152,0.35875,0.154097
66.jpg,0.0735893,0.288455,0.637956
67.jpg,0.0596398,0.136962,0.803398
68.jpg,0.130475,0.823666,0.0458589
69.jpg,0.188545,0.60104,0.210415
70.jpg,0.081281,0.387996,0.530723
71.jpg,0.08926,0.31762,0.59312
72.jpg,0.202376,0.685888,0.111736
