image_name,Type_1,Type_2,Type_3
0.jpg,0.0782153,0.735678,0.186107
1.jpg,0.0208682,0.204711,0.774421
2.jpg,0.297033,0.689384,0.0135834
3.jpg,0.00552464,0.0646629,0.929812
4.jpg,0.000479281,0.0133452,0.986175
5.jpg,0.233359,0.653656,0.112985
6.jpg,0.615914,0.373106,0.0109791
7.jpg,0.0103939,0.39387,0.595737
8.jpg,0.045695,0.0881208,0.866184
9.jpg,0.375477,0.500943,0.12358
10.jpg,0.238091,0.761295,0.000613926
11.jpg,0.000368966,0.0112692,0.988362
12.jpg,0.00417075,0.114711,0.881118
13.jpg,0.00025135,0.0342155,0.965533
14.jpg,0.00290269,0.139413,0.857684
15.jpg,0.000814385,0.0334485,0.965737
16.jpg,0.0139447,0.561645,0.42441
17.jpg,0.247454,0.71086,0.0416855
18.jpg,0.0150028,0.9803,0.00469764
19.jpg,0.00223596,0.0295128,0.968251
20.jpg,0.43258,0.552353,0.015067
21.jpg,0.155993,0.842407,0.00160002
22.jpg,0.132985,0.516385,0.350629
23.jpg,0.0201716,0.697131,0.282697
24.jpg,0.246163,0.700603,0.0532339
25.jpg,0.101736,0.748992,0.149272
26.jpg,0.526902,0.451748,0.0213503
27.jpg,0.00144043,0.0229886,0.975571
28.jpg,0.027553,0.772477,0.19997
29.jpg,0.00215429,0.0894865,0.908359
30.jpg,0.0438732,0.251345,0.704781
31.jpg,0.46212,0.532138,0.00574226
32.jpg,0.143175,0.633737,0.223088
33.jpg,0.350509,0.629924,0.0195665
34.jpg,0.0387864,0.852873,0.10834
35.jpg,0.0102866,0.887253,0.10246
36.jpg,0.146963,0.774725,0.0783121
37.jpg,0.235399,0.689365,0.0752359
38.jpg,0.0172629,0.887395,0.0953424
39.jpg,0.0633906,0.237955,0.698655
40.jpg,0.00125737,0.102593,0.89615
41.jpg,0.00948655,0.656783,0.333731
42.jpg,0.00116887,0.0224473,0.976384
43.jpg,0.00148322,0.0343931,0.964124
44.jpg,0.0329218,0.866107,0.100972
45.jpg,0.00865861,0.821766,0.169576
46.jpg,0.00420313,0.0862721,0.909525
47.jpg,0.680511,0.30105,0.0184391
48.jpg,0.00742803,0.896121,0.0964511
49.jpg,0.00102176,0.0223136,0.976665
50.jpg,0.00332019,0.0853563,0.911324
51.jpg,0.770762,0.229025,0.000212907
52.jpg,0.00383573,0.0256087,0.970556
53.jpg,0.0103999,0.059467,0.930133
54.jpg,0.000423136,0.0107355,0.988841
55.jpg,0.00154493,0.0115545,0.986901
56.jpg,0.000143037,0.981558,0.0182992
57.jpg,0.0743217,0.428826,0.496853
58.jpg,0.00616859,0.393937,0.599894
59.jpg,0.658865,0.320661,0.0204744
60.jpg,0.20703,0.694807,0.0981626
61.jpg,0.0979297,0.543132,0.358939
62.jpg,0.00277588,0.102342,0.894883
63.jpg,0.0116595,0.126875,0.861465
64.jpg,0.797842,0.201217,0.000940942
65.jpg,0.546982,0.372956,0.0800619
66.jpg,0.000302631,0.0159395,0.983758
67.jpg,0.00297251,0.0343245,0.962703
68.jpg,0.0318581,0.750133,0.218009
69.jpg,0.0379892,0.942925,0.0190854
70.jpg,0.276221,0.704699,0.0190803
71.jpg,0.0356686,0.4962,0.468131
72.jpg,0.0996399,0.868275,0.0320854
73.jpg,0.10853,0.715978,0.175491
74.jpg,0.0011117,0.0231947,0.975694
75.jpg,0.0967557,0.883988,0.0192567
76.jpg,0.00037066,0.0155668,0.984062
77.jpg,0.0598207,0.896257,0.0439223
78.jpg,0.000172013,0.00772976,0.992098
79.jpg,0.0618496,0.934776,0.00337482
80.jpg,0.0201646,0.121762,0.858073
81.jpg,0.00406143,0.286465,0.709473
82.jpg,0.340904,0.524483,0.134613
83.jpg,0.00161771,0.0116354,0.986747
84.jpg,0.0575679,0.620753,0.32168
85.jpg,0.519609,0.47307,0.00732077
86.jpg,0.0112991,0.192032,0.796669
87.jpg,0.00113999,0.0205802,0.97828
88.jpg,0.085698,0.703891,0.210411
89.jpg,0.00341217,0.377964,0.618624
90.jpg,0.407173,0.583176,0.00965048
91.jpg,0.0961104,0.853745,0.0501442
92.jpg,0.0021551,0.0319396,0.965905
93.jpg,0.0448539,0.914825,0.0403215
94.jpg,0.0300984,0.801921,0.167981
95.jpg,0.0314438,0.430512,0.538045
96.jpg,0.0102165,0.973855,0.0159286
97.jpg,0.0237205,0.369626,0.606653
98.jpg,0.323785,0.675963,0.00025204
99.jpg,0.00285687,0.291988,0.705155
100.jpg,0.068787,0.833897,0.0973162
101.jpg,0.0101262,0.933884,0.0559898
102.jpg,0.174068,0.790908,0.0350244
103.jpg,0.0296725,0.406294,0.564033
104.jpg,0.0037664,0.106003,0.89023
105.jpg,0.0217606,0.375517,0.602722
106.jpg,0.0903463,0.627675,0.281979
107.jpg,0.0023344,0.0432957,0.95437
108.jpg,0.000994594,0.0131535,0.985852
109.jpg,7.60978e-05,0.00239527,0.997529
110.jpg,0.109842,0.880248,0.00991008
111.jpg,0.0295833,0.78712,0.183297
112.jpg,0.00055672,0.0139125,0.985531
113.jpg,0.0273551,0.36107,0.611575
114.jpg,0.00423769,0.0367481,0.959014
115.jpg,0.0431092,0.926346,0.030545
116.jpg,0.00399471,0.0587597,0.937246
117.jpg,0.289767,0.651738,0.0584952
118.jpg,0.000890293,0.0085685,0.990541
119.jpg,0.178324,0.784229,0.0374467
120.jpg,0.0113304,0.906785,0.0818848
121.jpg,0.00153079,0.977871,0.0205984
122.jpg,0.000553362,0.0265626,0.972884
123.jpg,0.467375,0.482981,0.0496449
124.jpg,0.00557289,0.0352645,0.959163
125.jpg,0.00169587,0.0805975,0.917707
126.jpg,0.0660279,0.892828,0.0411446
127.jpg,0.00550033,0.0768301,0.91767
128.jpg,0.0120272,0.985463,0.00250946
129.jpg,0.040161,0.883268,0.0765708
130.jpg,0.127741,0.805098,0.0671613
131.jpg,0.000260032,0.00911285,0.990627
132.jpg,0.00672001,0.0680228,0.925257
133.jpg,0.00108187,0.0280911,0.970827
134.jpg,0.00157164,0.994192,0.00423645
